ec98_state_id,ec98_district_id,ec98_town_id,shrid
"02","01","01","11-28-802941"
"02","01","02","11-28-802939"
"02","01","08","11-28-802940"
"02","01","09","11-28-580521"
"02","01","10","11-28-802942"
"02","02","01","11-28-802944"
"02","02","04","11-28-583164"
"02","02","05","11-28-802943"
"02","02","06","11-28-802945"
"02","02","07","11-28-802946"
"02","02","08","01-28-41208000"
"02","03","01","11-28-802949"
"02","03","02","11-28-802948"
"02","03","05","11-28-585801"
"02","03","13","01-28-41308000"
"02","03","15","01-28-41305000"
"02","04","01","11-28-802958"
"02","04","02","11-28-587890"
"02","04","03","11-28-802955"
"02","04","05","01-28-41411000"
"02","04","06","11-28-802951"
"02","04","07","11-28-802954"
"02","04","08","11-28-802952"
"02","04","09","11-28-802957"
"02","04","10","11-28-587205"
"02","04","12","11-28-802953"
"02","04","13","11-28-802950"
"02","04","14","11-28-587502"
"02","04","15","11-28-587503"
"02","04","16","11-28-587400"
"02","05","02","11-28-802964"
"02","05","03","11-28-802962"
"02","05","04","11-28-802959"
"02","05","05","11-28-802965"
"02","05","06","11-28-802960"
"02","05","07","11-28-802966"
"02","05","09","11-28-802961"
"02","05","10","11-28-802963"
"02","06","05","11-28-802970"
"02","06","06","11-28-802967"
"02","06","10","11-28-802972"
"02","06","12","11-28-802968"
"02","06","13","11-28-802971"
"02","06","17","11-28-589508"
"02","07","01","11-28-802984"
"02","07","03","11-28-802980"
"02","07","04","11-28-802981"
"02","07","05","11-28-802973"
"02","07","06","11-28-802979"
"02","07","08","11-28-802983"
"02","07","09","11-28-802985"
"02","07","10","11-28-802975"
"02","07","11","11-28-802982"
"02","07","13","01-28-41704000"
"02","07","14","11-28-802976"
"02","08","02","11-28-802987"
"02","08","05","11-28-802989"
"02","08","07","11-28-802986"
"02","08","08","11-28-802988"
"02","08","09","11-28-591553"
"02","08","10","11-28-591023"
"02","09","01","11-28-802992"
"02","09","02","11-28-802990"
"02","09","04","01-28-41902000"
"02","09","06","11-28-802991"
"02","09","09","11-28-802993"
"02","10","01","11-28-803019"
"02","10","02","11-28-596973"
"02","10","03","11-28-803015"
"02","10","07","11-28-803018"
"02","10","08","11-28-803017"
"02","10","09","11-28-595773"
"02","10","10","11-28-803013"
"02","10","11","11-28-596010"
"02","10","13","11-28-596011"
"02","11","02","01-28-42008000"
"02","11","03","11-28-802996"
"02","11","06","11-28-802995"
"02","11","09","11-28-802999"
"02","11","10","11-28-592856"
"02","11","11","01-28-42011000"
"02","11","12","01-28-42009000"
"02","11","13","01-28-42010000"
"02","11","14","11-28-592857"
"02","11","15","11-28-593157"
"02","12","01","11-28-803009"
"02","12","02","11-28-803010"
"02","12","03","11-28-594760"
"02","12","04","11-28-803007"
"02","12","05","11-28-803012"
"02","12","07","11-28-594956"
"02","12","10","11-28-803006"
"02","12","11","11-28-803008"
"02","12","12","11-28-594902"
"02","13","01","11-28-803003"
"02","13","04","11-28-594245"
"02","13","05","01-28-42107000"
"02","13","07","11-28-803002"
"02","13","09","11-28-803004"
"02","13","11","11-28-803001"
"02","13","12","11-28-803002"
"02","14","02","11-28-575385"
"02","14","03","11-28-575211"
"02","14","04","11-28-802925"
"02","14","07","11-28-802922"
"02","14","08","11-28-575744"
"02","14","09","11-28-802923"
"02","14","10","11-28-593976"
"02","14","11","11-28-802924"
"02","15","01","11-28-802918"
"02","15","02","11-28-802918"
"02","15","03","11-28-802918"
"02","15","04","11-28-802918"
"02","15","05","11-28-802918"
"02","15","06","11-28-802918"
"02","15","07","11-28-802918"
"02","15","08","11-28-802918"
"02","15","09","11-28-802918"
"02","15","10","11-28-802918"
"02","15","11","11-28-802918"
"02","15","12","11-28-802918"
"02","15","13","11-28-802918"
"02","15","14","11-28-802918"
"02","16","01","11-28-802918"
"02","17","01","11-28-802918"
"02","17","02","11-28-802918"
"02","17","03","11-28-802918"
"02","17","04","11-28-802918"
"02","17","05","11-28-802918"
"02","17","06","11-28-802918"
"02","17","07","11-28-802918"
"02","17","08","11-28-802918"
"02","17","09","11-28-802918"
"02","18","04","11-28-802906"
"02","18","05","11-28-802904"
"02","19","01","11-28-802896"
"02","19","02","11-28-569539"
"02","19","03","11-28-802900"
"02","19","04","11-28-802898"
"02","19","05","11-28-802897"
"02","19","06","11-28-570569"
"02","19","08","11-28-802902"
"02","19","09","11-28-802901"
"02","19","10","11-28-802899"
"02","20","01","11-28-802908"
"02","20","02","11-28-802911"
"02","20","03","11-28-802909"
"02","20","08","11-28-802907"
"02","20","09","11-28-802912"
"02","21","02","11-28-802931"
"02","21","04","11-28-802930"
"02","22","01","11-28-579086"
"02","22","02","11-28-802937"
"02","22","07","11-28-802933"
"02","22","09","11-28-802935"
"02","23","01","11-28-802926"
"02","23","02","11-28-577259"
"02","23","04","11-28-802929"
"02","23","06","11-28-802927"
"02","23","07","11-28-577407"
"02","23","08","11-28-576531"
"03","02","01","11-12-801426"
"03","04","01","11-12-801443"
"03","06","01","11-12-801432"
"03","07","01","11-12-801435"
"03","08","01","11-12-801446"
"03","09","01","11-12-801447"
"03","09","02","11-12-801448"
"03","11","01","11-12-801441"
"03","12","01","11-12-801429"
"03","12","02","11-12-801428"
"04","01","01","11-18-801551"
