pc01_state_id,pc01_town_id,shrid
"01","40101000","11-01-800001"
"01","40102000","11-01-800002"
"01","40201000","11-01-800010"
"01","40202000","11-01-800011"
"01","40203000","11-01-800012"
"01","40204000","11-01-800003"
"01","40205000","11-01-800005"
"01","40206000","11-01-800006"
"01","40207000","11-01-800007"
"01","40208000","11-01-800008"
"01","40209000","11-01-800009"
"01","40301000","11-01-800015"
"01","40302000","11-01-800013"
"01","40303000","11-01-800014"
"01","40401000","11-01-800016"
"01","40402000","11-01-000830"
"01","40403000","11-01-800019"
"01","40404000","11-01-800018"
"01","40405000","11-01-800021"
"01","40501000","11-01-800022"
"01","40502000","11-01-800023"
"01","40503000","11-01-800025"
"01","40504000","11-01-800024"
"01","40505000","11-01-800026"
"01","40506000","11-01-800027"
"01","40601000","11-01-800028"
"01","40602000","11-01-800030"
"01","40603000","11-01-800032"
"01","40604000","11-01-800033"
"01","40605000","11-01-800034"
"01","40606000","11-01-800037"
"01","40607000","11-01-800040"
"01","40608000","11-01-800038"
"01","40609000","11-01-800039"
"01","40701000","11-01-800047"
"01","40801000","11-01-800048"
"01","40901000","11-01-800051"
"01","40902000","11-01-800052"
"01","40903000","11-01-800053"
"01","40904000","11-01-800049"
"01","40905000","11-01-800054"
"01","40906000","11-01-800050"
"01","41001000","11-01-800059"
"01","41002000","11-01-005415"
"01","41003000","11-01-800061"
"01","41004000","11-01-800055"
"01","41005000","11-01-004954"
"01","41006000","11-01-800056"
"01","41007000","11-01-800057"
"01","41008000","11-01-800058"
"01","41101000","11-01-800062"
"01","41201000","11-01-800064"
"01","41202000","11-01-800065"
"01","41203000","11-01-800066"
"01","41204000","11-01-800067"
"01","41301000","11-01-800068"
"01","41302000","11-01-800069"
"01","41303000","11-01-800070"
"01","41304000","11-01-800071"
"01","41305000","11-01-800072"
"01","41306000","11-01-800073"
"01","41307000","11-01-800074"
"01","41308000","11-01-800075"
"01","41309000","11-01-800076"
"01","41310000","11-01-800077"
"01","41311000","11-01-006671"
"01","41312000","11-01-800078"
"01","41313000","11-01-800079"
"01","41314000","11-01-800080"
"01","41401000","11-01-800081"
"01","41402000","11-01-800082"
"01","41403000","11-01-800083"
"01","41404000","11-01-800084"
"01","41405000","11-01-800085"
"01","41406000","11-01-800086"
"02","40101000","11-02-800091"
"02","40102000","11-02-800087"
"02","40103000","11-02-800088"
"02","40104000","11-02-800089"
"02","40105000","11-02-800090"
"02","40201000","11-02-800092"
"02","40202000","11-02-800093"
"02","40203000","11-02-800093"
