ec13_state_id,ec13_district_id,ec13_town_id,shrid
"01","01","7001","11-01-800001"
"01","01","7002","11-01-800002"
"01","01","8001","11-01-000123"
"01","01","8002","11-01-000124"
"01","01","8003","11-01-000125"
"01","01","8004","11-01-000126"
"01","01","8005","11-01-000127"
"01","01","8006","11-01-000128"
"01","01","8007","11-01-000369"
"01","01","8008","11-01-000370"
"01","02","7003","11-01-800016"
"01","02","7004","11-01-000830"
"01","02","7005","11-01-800018"
"01","02","7006","11-01-800019"
"01","02","7008","11-01-800021"
"01","02","8009","11-01-000720"
"01","02","8010","11-01-000829"
"01","02","8011","11-01-000830"
"01","03","7009","11-01-800047"
"01","03","8012","11-01-000909"
"01","03","8013","11-01-000910"
"01","04","7010","11-01-800048"
"01","05","7011","11-01-800062"
"01","05","7012","11-01-800063"
"01","05","8014","11-01-001233"
"01","06","7013","11-01-800064"
"01","06","7014","11-01-800065"
"01","06","7015","11-01-800066"
"01","06","7016","11-01-800067"
"01","07","7017","11-01-800081"
"01","07","7018","11-01-800082"
"01","07","7019","11-01-800083"
"01","07","7020","11-01-800084"
"01","07","7021","11-01-800085"
"01","07","7022","11-01-800086"
"01","08","7023","11-01-800003"
"01","08","7024","11-01-800004"
"01","08","7025","11-01-800005"
"01","08","7026","11-01-800006"
"01","08","7027","11-01-800007"
"01","08","7028","11-01-800008"
"01","08","7029","11-01-800009"
"01","09","7030","11-01-800010"
"01","09","7031","11-01-800011"
"01","09","7032","11-01-800012"
"01","10","7033","11-01-800013"
"01","10","7034","11-01-800014"
"01","10","8016","11-01-002834"
"01","10","8017","11-01-002835"
"01","11","7035","11-01-800015"
"01","11","8018","11-01-002883"
"01","11","8019","11-01-002958"
"01","12","7036","11-01-800022"
"01","12","7037","11-01-800023"
"01","12","7038","11-01-800024"
"01","12","7039","11-01-800025"
"01","12","7040","11-01-800026"
"01","13","7041","11-01-800027"
"01","14","7042","11-01-800028"
"01","14","7043","11-01-800029"
"01","14","7044","11-01-800030"
"01","14","7045","11-01-800031"
"01","14","7046","11-01-800032"
"01","14","7047","11-01-800033"
"01","14","7048","11-01-800034"
"01","14","7049","11-01-800035"
"01","14","7050","11-01-800036"
"01","14","7051","11-01-800037"
"01","14","7052","11-01-800038"
"01","14","7053","11-01-800039"
"01","15","7054","11-01-800040"
"01","15","7055","11-01-800041"
"01","15","7056","11-01-800042"
"01","15","7057","11-01-800043"
"01","15","7058","11-01-800044"
"01","15","7059","11-01-800045"
"01","15","7060","11-01-800046"
"01","16","7061","11-01-800049"
"01","16","7062","11-01-800050"
"01","17","7063","11-01-800051"
"01","17","7064","11-01-800052"
"01","17","7065","11-01-800053"
"01","18","7066","11-01-800054"
"01","19","7067","11-01-800055"
"01","19","7068","11-01-800056"
"01","19","7069","11-01-800057"
"01","19","7070","11-01-800058"
"01","19","8020","11-01-004954"
"01","19","8021","11-01-004955"
"01","20","7071","11-01-800059"
"01","20","7072","11-01-800060"
"01","20","7073","11-01-800061"
"01","20","8022","11-01-005415"
"01","20","8023","11-01-005416"
"01","21","7074","11-01-800068"
"01","21","7075","11-01-800069"
"01","21","7076","11-01-800070"
"01","21","7077","11-01-800071"
"01","21","7078","11-01-800072"
"01","21","7079","11-01-800073"
"01","21","7080","11-01-800074"
"01","21","7081","11-01-800075"
"01","21","7082","11-01-800076"
"01","21","8024","11-01-005963"
"01","21","8025","11-01-005964"
"01","21","8026","11-01-005965"
"01","21","8027","11-01-800071"
"01","21","8028","11-01-800071"
"01","21","8029","11-01-800071"
"01","21","8030","11-01-800071"
"01","21","8031","11-01-800071"
"01","21","8032","11-01-006176"
"01","21","8033","11-01-006177"
"01","21","8034","11-01-006178"
"01","22","7083","11-01-800077"
"01","22","7084","11-01-800078"
"01","22","7085","11-01-800079"
"01","22","7086","11-01-800080"
"01","22","8035","11-01-006671"
"01","22","8036","11-01-006672"
"02","01","7001","11-02-800087"
"02","01","7002","11-02-800088"
"02","01","7003","11-02-800089"
"02","01","7004","11-02-800090"
"02","01","7005","11-02-800091"
"02","02","7006","11-02-800092"
"02","02","7008","11-02-800094"
"02","02","7009","11-02-800095"
"02","02","7010","11-02-800096"
"02","02","7011","11-02-800097"
"02","02","7012","11-02-800098"
"02","02","7013","11-02-800099"
"02","02","8001","11-02-008799"
"02","04","7014","11-02-800100"
"02","04","7015","11-02-800101"
"02","04","7016","11-02-800102"
"02","04","7017","11-02-800103"
"02","04","8002","11-02-012896"
"02","05","7018","11-02-800104"
"02","05","7019","11-02-800105"
"02","05","7020","11-02-800106"
"02","05","7021","11-02-800107"
"02","05","7022","11-02-800108"
"02","06","7023","11-02-800109"
"02","06","7024","11-02-800110"
"02","06","7025","11-02-800111"
"02","06","7026","11-02-800112"
"02","07","7027","11-02-800113"
"02","07","7028","11-02-800114"
"02","07","7029","11-02-800115"
"02","07","7030","11-02-800116"
"02","07","7031","11-02-800117"
"02","08","7032","11-02-800118"
"02","08","7033","11-02-800119"
"02","08","7034","11-02-800120"
"02","08","7035","11-02-800121"
"02","09","7036","11-02-800122"
"02","09","7037","11-02-800123"
"02","09","7039","11-02-800125"
"02","09","7040","11-02-800126"
"02","09","7041","11-02-800127"
"02","09","7042","11-02-800128"
"02","09","7043","11-02-800129"
"02","10","7044","11-02-800130"
"02","10","7045","11-02-800131"
"02","10","7046","11-02-800132"
"02","11","7047","11-02-800133"
"02","11","7048","11-02-800134"
"02","11","7049","11-02-800135"
"02","11","7050","11-02-800136"
"02","11","7051","11-02-800137"
"02","11","7052","11-02-800138"
"02","11","7053","11-02-800139"
"02","11","7054","11-02-800137"
"02","11","7055","11-02-800141"
"02","11","7056","11-02-800142"
"02","11","8003","11-02-023702"
"03","01","7001","11-03-800143"
"03","01","7002","11-03-800144"
"03","01","7003","11-03-800145"
"03","01","7004","11-03-800146"
