pc11_state_id,pc11_town_id,shrid
"01","000123","11-01-000123"
"01","000124","11-01-000124"
"01","000125","11-01-000125"
"01","000126","11-01-000126"
"01","000127","11-01-000127"
"01","000128","11-01-000128"
"01","000369","11-01-000369"
"01","000370","11-01-000370"
"01","000720","11-01-000720"
"01","000829","11-01-000829"
"01","000830","11-01-000830"
"01","000909","11-01-000909"
"01","000910","11-01-000910"
"01","001233","11-01-001233"
"01","002830","11-01-002830"
"01","002834","11-01-002834"
"01","002835","11-01-002835"
"01","002883","11-01-002883"
"01","002958","11-01-002958"
"01","004954","11-01-004954"
"01","004955","11-01-004955"
"01","005415","11-01-005415"
"01","005416","11-01-005416"
"01","005963","11-01-005963"
"01","005964","11-01-005964"
"01","005965","11-01-005965"
"01","005966","11-01-800071"
"01","005967","11-01-800071"
"01","005968","11-01-800071"
"01","005969","11-01-800071"
"01","005970","11-01-800071"
"01","006176","11-01-006176"
"01","006177","11-01-006177"
"01","006178","11-01-006178"
"01","006671","11-01-006671"
"01","006672","11-01-006672"
"01","800001","11-01-800001"
"01","800002","11-01-800002"
"01","800003","11-01-800003"
"01","800004","11-01-800004"
"01","800005","11-01-800005"
"01","800006","11-01-800006"
"01","800007","11-01-800007"
"01","800008","11-01-800008"
"01","800009","11-01-800009"
"01","800010","11-01-800010"
"01","800011","11-01-800011"
"01","800012","11-01-800012"
"01","800013","11-01-800013"
"01","800014","11-01-800014"
"01","800015","11-01-800015"
"01","800016","11-01-800016"
"01","800017","11-01-000830"
"01","800018","11-01-800018"
"01","800019","11-01-800019"
"01","800020","11-01-800020"
"01","800021","11-01-800021"
"01","800022","11-01-800022"
"01","800023","11-01-800023"
"01","800024","11-01-800024"
"01","800025","11-01-800025"
"01","800026","11-01-800026"
"01","800027","11-01-800027"
"01","800028","11-01-800028"
"01","800029","11-01-800029"
"01","800030","11-01-800030"
"01","800031","11-01-800031"
"01","800032","11-01-800032"
"01","800033","11-01-800033"
"01","800034","11-01-800034"
"01","800035","11-01-800035"
"01","800036","11-01-800036"
"01","800037","11-01-800037"
"01","800038","11-01-800038"
"01","800039","11-01-800039"
"01","800040","11-01-800040"
"01","800041","11-01-800041"
"01","800042","11-01-800042"
"01","800043","11-01-800043"
"01","800044","11-01-800044"
"01","800045","11-01-800045"
"01","800046","11-01-800046"
"01","800047","11-01-800047"
"01","800048","11-01-800048"
"01","800049","11-01-800049"
"01","800050","11-01-800050"
"01","800051","11-01-800051"
"01","800052","11-01-800052"
"01","800053","11-01-800053"
"01","800054","11-01-800054"
"01","800055","11-01-800055"
"01","800056","11-01-800056"
"01","800057","11-01-800057"
"01","800058","11-01-800058"
"01","800059","11-01-800059"
"01","800060","11-01-800060"
"01","800061","11-01-800061"
"01","800062","11-01-800062"
"01","800063","11-01-800063"
"01","800064","11-01-800064"
"01","800065","11-01-800065"
"01","800066","11-01-800066"
"01","800067","11-01-800067"
"01","800068","11-01-800068"
"01","800069","11-01-800069"
"01","800070","11-01-800070"
"01","800071","11-01-800071"
"01","800072","11-01-800072"
"01","800073","11-01-800073"
"01","800074","11-01-800074"
"01","800075","11-01-800075"
"01","800076","11-01-800076"
"01","800077","11-01-800077"
"01","800078","11-01-800078"
"01","800079","11-01-800079"
"01","800080","11-01-800080"
"01","800081","11-01-800081"
"01","800082","11-01-800082"
"01","800083","11-01-800083"
"01","800084","11-01-800084"
"01","800085","11-01-800085"
"01","800086","11-01-800086"
"02","008799","11-02-008799"
"02","012896","11-02-012896"
"02","023702","11-02-023702"
"02","800087","11-02-800087"
"02","800088","11-02-800088"
"02","800089","11-02-800089"
"02","800090","11-02-800090"
"02","800091","11-02-800091"
"02","800092","11-02-800092"
"02","800093","11-02-800093"
"02","800094","11-02-800094"
"02","800095","11-02-800095"
"02","800096","11-02-800096"
"02","800097","11-02-800097"
"02","800098","11-02-800098"
"02","800099","11-02-800099"
"02","800100","11-02-800100"
"02","800101","11-02-800101"
"02","800102","11-02-800102"
"02","800103","11-02-800103"
"02","800104","11-02-800104"
"02","800105","11-02-800105"
"02","800106","11-02-800106"
"02","800107","11-02-800107"
"02","800108","11-02-800108"
"02","800109","11-02-800109"
"02","800110","11-02-800110"
"02","800111","11-02-800111"
"02","800112","11-02-800112"
"02","800113","11-02-800113"
"02","800114","11-02-800114"
"02","800115","11-02-800115"
"02","800116","11-02-800116"
"02","800117","11-02-800117"
"02","800118","11-02-800118"
"02","800119","11-02-800119"
"02","800120","11-02-800120"
"02","800121","11-02-800121"
"02","800122","11-02-800122"
"02","800123","11-02-800123"
"02","800124","11-02-800124"
"02","800125","11-02-800125"
"02","800126","11-02-800126"
"02","800127","11-02-800127"
"02","800128","11-02-800128"
"02","800129","11-02-800129"
"02","800130","11-02-800130"
"02","800131","11-02-800131"
"02","800132","11-02-800132"
"02","800133","11-02-800133"
"02","800134","11-02-800134"
"02","800135","11-02-800135"
"02","800136","11-02-800136"
"02","800137","11-02-800137"
"02","800138","11-02-800138"
"02","800139","11-02-800139"
"02","800140","11-02-800137"
"02","800141","11-02-800141"
"02","800142","11-02-800142"
"03","027401","11-03-027401"
"03","027772","11-03-027772"
"03","027773","11-03-027773"
"03","027774","11-03-027774"
"03","027775","11-03-027775"
"03","027776","11-03-027776"
"03","027777","11-03-027777"
"03","027778","11-03-027778"
"03","027779","11-03-027779"
"03","027780","11-03-027780"
"03","027781","11-03-027781"
"03","027782","11-03-027782"
"03","028501","11-03-028501"
"03","028502","11-03-028502"
"03","028503","11-03-028503"
"03","028504","11-03-028504"
"03","028993","11-03-028993"
"03","029355","11-03-029355"
"03","029683","11-03-029683"
"03","029684","11-03-029684"
"03","030247","11-03-030247"
"03","030248","11-03-030248"
"03","030387","11-03-030387"
"03","030388","11-03-030388"
"03","030389","11-03-030389"
"03","030390","11-03-030390"
"03","030391","11-03-030391"
"03","030635","11-03-030635"
"03","030636","11-03-030636"
"03","031343","11-03-031343"
"03","031344","11-03-031344"
"03","031345","11-03-031345"
"03","031760","11-03-031760"
"03","032342","11-03-032342"
