pc91_state_id,pc91_district_id,pc91_town_id,shrid
"02","01","100000","11-28-802941"
"02","01","101000","11-28-802939"
"02","01","102000","11-28-580328"
"02","01","103000","11-28-581460"
"02","01","104000","11-28-580777"
"02","01","105000","11-28-802938"
"02","01","107000","11-28-802940"
"02","01","108000","11-28-580521"
"02","01","109000","11-28-802942"
"02","01","110000","11-28-581009"
"02","02","100000","11-28-802944"
"02","02","101000","11-28-582830"
"02","02","102000","11-28-582798"
"02","02","103000","11-28-583164"
"02","02","104000","11-28-802943"
"02","02","105000","11-28-802945"
"02","02","300101","11-28-802946"
"02","02","300200","01-28-41208000"
"02","02","300300","11-28-583130"
"02","03","100000","11-28-802949"
"02","03","101000","11-28-802948"
"02","03","102000","11-28-586233"
"02","03","103000","11-28-585878"
"02","03","104000","11-28-585801"
"02","03","105000","11-28-586474"
"02","03","107000","11-28-585551"
"02","03","108000","11-28-588807"
"02","03","300300","01-28-41305000"
"02","03","300501","01-28-41308000"
"02","03","300701","01-28-41308000"
"02","03","300800","01-28-41308000"
"02","03","300901","01-28-41308000"
"02","03","301001","01-28-41308000"
"02","03","301100","01-28-41308000"
"02","03","301200","01-28-41308000"
"02","04","100000","11-28-802958"
"02","04","101000","11-28-587890"
"02","04","102000","11-28-587808"
"02","04","103000","01-28-41411000"
"02","04","104000","11-28-802951"
"02","04","105000","11-28-802954"
"02","04","106000","11-28-802957"
"02","04","107000","11-28-587205"
"02","04","108000","11-28-587831"
"02","04","109000","11-28-802953"
"02","04","110000","11-28-802950"
"02","04","300101","11-28-802952"
"02","04","300200","91-02-0400300200"
"02","04","300300","11-28-587400"
"02","04","310101","11-28-802955"
"02","04","310200","11-28-587502"
"02","04","310300","11-28-587503"
"02","05","100000","11-28-588598"
"02","05","101000","11-28-802959"
"02","05","102000","11-28-802965"
"02","05","103000","11-28-802960"
"02","05","104000","11-28-802966"
"02","05","105000","11-28-588681"
"02","05","106000","11-28-802961"
"02","05","107000","11-28-802963"
"02","05","300000","11-28-802962"
"02","05","310000","11-28-802964"
"02","06","100000","11-28-589773"
"02","06","101000","11-28-589079"
"02","06","102000","11-28-589750"
"02","06","103000","11-28-589245"
"02","06","104000","11-28-802967"
"02","06","105000","11-28-589334"
"02","06","106000","11-28-589503"
"02","06","107000","11-28-589205"
"02","06","108000","11-28-588883"
"02","06","109000","11-28-802968"
"02","06","110000","11-28-802971"
"02","06","112000","11-28-589560"
"02","06","300000","11-28-802970"
"02","06","310000","11-28-802972"
"02","06","500101","11-28-802969"
"02","06","500201","11-28-589508"
"02","06","500300","91-02-0600500300"
"02","07","100000","11-28-802984"
"02","07","101000","11-28-590426"
"02","07","102000","11-28-802980"
"02","07","103000","11-28-802973"
"02","07","104000","11-28-802979"
"02","07","105000","11-28-590222"
"02","07","106000","11-28-802983"
"02","07","107000","11-28-802985"
"02","07","108000","11-28-802975"
"02","07","109000","11-28-589798"
"02","07","110000","01-28-41704000"
"02","07","300000","11-28-802981"
"02","07","310000","11-28-802982"
"02","07","510200","11-28-802976"
"02","08","100000","11-28-590769"
"02","08","101000","11-28-590896"
"02","08","102000","11-28-591202"
"02","08","103000","11-28-802989"
"02","08","104000","11-28-591289"
"02","08","105000","11-28-802986"
"02","08","106000","11-28-591553"
"02","08","300100","11-28-802988"
"02","08","300200","11-28-802988"
"02","08","310101","11-28-802987"
"02","08","310200","11-28-591023"
"02","09","100000","11-28-802992"
"02","09","101000","11-28-802990"
"02","09","102000","11-28-592113"
"02","09","103000","01-28-41902000"
"02","09","104000","91-02-0900104000"
"02","09","105000","11-28-592764"
"02","09","106000","11-28-592766"
"02","09","107000","11-28-802993"
"02","09","300000","11-28-802991"
"02","10","100000","11-28-596973"
"02","10","101000","11-28-803015"
"02","10","102000","11-28-803016"
"02","10","103000","11-28-596197"
"02","10","104000","11-28-803020"
"02","10","105000","11-28-803018"
"02","10","106000","11-28-803017"
"02","10","107000","11-28-595773"
"02","10","108000","11-28-803013"
"02","10","109000","11-28-596010"
"02","10","300200","11-28-596011"
"02","10","310000","11-28-803019"
"02","11","100000","11-28-802905"
"02","11","101000","11-28-593294"
"02","11","102000","11-28-593597"
"02","11","103000","11-28-802997"
"02","11","104000","11-28-803000"
"02","11","105000","11-28-802999"
"02","11","106000","11-28-592856"
"02","11","200001","11-28-802996"
"02","11","201000","11-28-593157"
"02","11","202000","11-28-592857"
"02","11","300101","01-28-42008000"
"02","11","300200","01-28-42011000"
"02","11","300300","01-28-42009000"
"02","11","300400","01-28-42010000"
"02","11","310000","11-28-802995"
"02","12","100000","11-28-803010"
"02","12","101000","11-28-594760"
"02","12","102000","11-28-803011"
"02","12","103000","11-28-594956"
"02","12","104000","11-28-595435"
"02","12","105000","11-28-595448"
"02","12","106000","11-28-803006"
"02","12","107000","11-28-803008"
"02","12","108000","11-28-594902"
"02","12","300000","11-28-803009"
"02","12","310000","11-28-803007"
"02","12","320000","11-28-803012"
"02","13","100000","11-28-593982"
"02","13","101000","11-28-594393"
"02","13","102000","11-28-594245"
"02","13","103000","01-28-42107000"
"02","13","104000","11-28-803005"
"02","13","105000","11-28-593932"
"02","13","106000","11-28-593976"
"02","13","107000","11-28-803001"
"02","13","300100","11-28-803002"
"02","13","300200","11-28-803002"
"02","13","310000","11-28-803003"
"02","13","320000","11-28-803004"
"02","14","100000","11-28-576440"
"02","14","101000","11-28-575385"
"02","14","102000","11-28-575211"
"02","14","103000","11-28-802925"
"02","14","104000","11-28-576363"
"02","14","105000","11-28-574952"
"02","14","106000","11-28-575744"
"02","14","107000","11-28-802923"
"02","14","108000","11-28-575620"
"02","14","109000","11-28-802924"
"02","14","300000","11-28-802922"
"02","15","100000","11-28-802918"
"02","15","101000","11-28-802918"
"02","15","102000","11-28-802918"
"02","15","610100","11-28-802918"
"02","15","610201","11-28-802918"
"02","15","610300","11-28-802918"
"02","15","610400","11-28-802918"
"02","15","610501","11-28-802918"
"02","15","610600","11-28-802918"
"02","15","610700","11-28-802918"
"02","15","610800","11-28-802918"
"02","15","610901","11-28-802918"
"02","15","611000","11-28-802918"
"02","15","611101","11-28-802918"
"02","15","611200","11-28-802918"
"02","16","600100","11-28-802918"
"02","16","600200","11-28-802918"
"02","16","600300","11-28-802918"
"02","17","100000","11-28-802918"
"02","17","101000","11-28-802918"
"02","17","102000","11-28-802918"
"02","17","103000","11-28-802918"
"02","17","104000","11-28-802918"
"02","17","105000","11-28-802918"
"02","17","106000","11-28-802918"
"02","17","620100","11-28-802918"
"02","17","620200","11-28-802918"
"02","17","620300","11-28-802918"
"02","18","100000","11-28-802903"
"02","18","101000","11-28-571384"
"02","18","102000","11-28-802905"
"02","18","103000","11-28-802906"
"02","18","104000","11-28-570690"
"02","18","300000","11-28-802904"
"02","19","100000","11-28-802896"
"02","19","101000","11-28-569539"
"02","19","102000","11-28-802900"
"02","19","103000","11-28-802898"
"02","19","104000","11-28-802897"
"02","19","105000","11-28-570569"
"02","19","106000","11-28-570590"
"02","19","107000","11-28-802902"
"02","19","108000","11-28-802901"
"02","19","109000","11-28-802899"
"02","19","110000","11-28-569352"
"02","20","100000","11-28-802908"
"02","20","101000","11-28-802909"
"02","20","102000","11-28-572308"
"02","20","103000","11-28-571808"
"02","20","104000","11-28-802910"
"02","20","105000","11-28-571999"
"02","20","106000","11-28-802912"
"02","20","107000","11-28-572368"
"02","20","300000","11-28-802911"
"02","20","310000","11-28-802907"
"02","21","100000","11-28-578679"
"02","21","101000","11-28-802931"
"02","21","102000","11-28-578603"
"02","21","300101","11-28-802930"
"02","21","300200","91-02-2100300200"
"02","22","100000","11-28-579086"
"02","22","101000","11-28-579872"
"02","22","102000","11-28-802932"
"02","22","103000","11-28-579212"
"02","22","104000","11-28-802933"
"02","22","105000","01-28-01056900"
"02","22","106000","11-28-802935"
"02","22","300101","11-28-802937"
"02","22","310101","11-28-802934"
"02","22","310200","11-28-802934"
"02","23","100000","11-28-802926"
"02","23","101000","11-28-577259"
"02","23","102000","11-28-577573"
"02","23","103000","11-28-802929"
"02","23","105000","11-28-802927"
"02","23","106000","11-28-577407"
"02","23","107000","11-28-576531"
"03","02","100000","11-12-801426"
"03","04","100000","11-12-801443"
"03","04","101000","11-12-801429"
"03","04","102000","11-12-801428"
"03","06","100000","11-12-801432"
"03","07","100000","11-12-801435"
"03","08","100000","11-12-801446"
"03","09","100000","11-12-801447"
"03","09","101000","11-12-801448"
"03","11","100000","11-12-801441"
"04","01","100000","11-18-280885"
"04","01","101000","11-18-801548"
"04","01","102000","11-18-801549"
"04","01","103000","11-18-801550"
"04","01","104000","11-18-801551"
"04","01","105000","11-18-801552"
"04","01","106000","11-18-281759"
"04","02","100000","11-18-801546"
"04","02","101000","11-18-801547"
"04","02","102000","11-18-801622"
"04","03","100000","11-18-801621"
"04","03","101000","11-18-301461"
"04","03","102000","11-18-801623"
"04","03","200001","11-18-801620"
"04","03","201000","11-18-301325"
"04","04","100000","11-18-801554"
"04","04","101000","11-18-801553"
"04","05","100000","11-18-801555"
"04","05","101000","11-18-801556"
"04","05","102000","11-18-801557"
"04","05","103000","11-18-801559"
"04","05","104000","11-18-801558"
"04","05","105000","11-18-283005"
"04","05","106000","11-18-801560"
"04","06","100000","11-18-801628"
"04","06","101000","11-18-801629"
"04","07","100000","11-18-801624"
"04","07","101000","11-18-302706"
"04","07","102000","11-18-302704"
"04","07","103000","11-18-801626"
"04","07","104000","11-18-303429"
"04","07","105000","11-18-801624"
"04","07","300000","11-18-801627"
"04","08","100000","11-18-801632"
"04","08","101000","11-18-801630"
"04","08","102000","11-18-801631"
"04","08","103000","11-18-801633"
"04","09","100000","11-18-801572"
"04","09","101000","11-18-801570"
"04","09","102000","11-18-801571"
"04","09","103000","11-18-801573"
"04","10","100000","11-18-801576"
"04","10","101000","11-18-801577"
"04","11","100000","11-18-801579"
"04","12","100000","11-18-801561"
"04","12","101000","11-18-283613"
"04","12","102000","11-18-283613"
"04","13","100000","11-18-801562"
"04","13","101000","11-18-801563"
"04","13","102000","11-18-801563"
"04","13","103000","11-18-801566"
"04","13","104000","11-18-801569"
"04","13","200001","11-18-801568"
"04","13","201000","11-18-285495"
"04","14","100000","11-18-801601"
"04","14","101000","11-18-801599"
"04","14","102000","11-18-801600"
"04","15","100000","11-18-801598"
"04","15","300101","11-18-801595"
"04","15","300200","01-18-41701000"
"04","16","100000","11-18-801590"
"04","16","101000","11-18-801589"
"04","16","102000","11-18-801591"
"04","16","103000","11-18-801593"
"04","16","104000","11-18-801594"
"04","17","100000","11-18-801587"
"04","17","101000","11-18-801588"
"04","17","102000","11-18-291703"
"04","17","103000","11-18-292421"
"04","17","300100","11-18-801586"
"04","17","300200","11-18-291355"
"04","18","100000","11-18-801581"
"04","18","101000","11-18-801583"
"04","18","102000","11-18-801582"
"04","18","103000","11-18-801585"
"04","18","200001","11-18-801584"
"04","18","201000","11-18-291062"
"04","19","100000","11-18-801606"
"04","19","101000","11-18-801608"
"04","19","102000","11-18-801609"
"04","19","103000","11-18-801607"
"04","19","104000","11-18-801604"
"04","19","105000","11-18-801605"
"04","20","100000","11-18-801611"
"04","20","101000","11-18-801612"
"04","20","102000","11-18-801613"
"04","21","100000","11-18-801616"
"04","21","200001","11-18-801617"
"04","21","201000","11-18-300230"
"04","22","100000","11-18-801618"
"04","22","101000","11-18-801619"
"04","23","100000","11-18-801615"
"04","23","300000","11-18-801614"
"05","01","100000","11-10-801379"
"05","01","101000","11-10-801380"
"05","01","102000","11-10-801378"
"05","01","103000","11-10-801372"
"05","01","104000","11-10-801369"
"05","01","105000","11-10-801382"
"05","01","106000","11-10-801381"
"05","01","107000","11-10-801383"
"05","01","108000","11-10-245825"
"05","01","300101","11-10-801373"
"05","01","300200","11-10-801374"
"05","01","300300","11-10-801370"
"05","01","300400","11-10-801371"
"05","02","100000","11-10-801367"
